1._FC_Magdeburg | fullname | 1
1._FC_Magdeburg | league | 3
1._FC_Magdeburg | position | Regionalliga_Nordost
A.C._Cesena | position | Serie_A
A.C._Chievo_Verona | position | Serie_A
A.C._Lumezzane | position | Lega_Pro
A.D._Isidro_Metapán | position | Salvadoran_Primera_División
A.E_Dimitra_Efxeinoupolis | position | A_EPSTH_2nd_GROUP
A.F.C._Blackpool | position | North_West_Counties_Football_League
A.F.C._Fylde | position | National_League_North
A.S._Gubbio_1910 | position | Lega_Pro
A.S._Livorno_Calcio | position | Serie_B
A.S._Roma | position | Serie_A
ACF_Fiorentina | position | Serie_A
AEK_Athens_F.C. | position | Football_League_(Greece)
AFC_Ajax | position | Eredivisie
AFC_Ajax_(amateurs) | position | Topklasse
AZ_Alkmaar | position | Eredivisie
